date,Sigmar Gabriel,Angela Merkel,isPartial
2013-06-02,0,11,False
2013-06-09,0,7,False
2013-06-16,0,13,False
2013-06-23,0,9,False
2013-06-30,1,8,False
2013-07-07,0,6,False
2013-07-14,0,10,False
2013-07-21,0,6,False
2013-07-28,0,5,False
2013-08-04,0,7,False
2013-08-11,0,14,False
2013-08-18,1,12,False
2013-08-25,1,16,False
2013-09-01,2,35,False
2013-09-08,1,18,False
2013-09-15,3,39,False
2013-09-22,4,94,False
2013-09-29,1,14,False
2013-10-06,1,10,False
2013-10-13,1,8,False
2013-10-20,1,21,False
2013-10-27,0,22,False
2013-11-03,1,12,False
2013-11-10,2,9,False
2013-11-17,1,8,False
2013-11-24,6,10,False
2013-12-01,3,8,False
2013-12-08,2,9,False
2013-12-15,4,19,False
2013-12-22,1,8,False
2013-12-29,1,10,False
2014-01-05,2,45,False
2014-01-12,1,10,False
2014-01-19,2,13,False
2014-01-26,2,11,False
2014-02-02,1,8,False
2014-02-09,1,7,False
2014-02-16,1,8,False
2014-02-23,1,21,False
2014-03-02,1,15,False
2014-03-09,0,11,False
2014-03-16,1,13,False
2014-03-23,1,9,False
2014-03-30,1,9,False
2014-04-06,1,13,False
2014-04-13,1,7,False
2014-04-20,0,7,False
2014-04-27,1,9,False
2014-05-04,1,12,False
2014-05-11,1,9,False
2014-05-18,1,11,False
2014-05-25,1,15,False
2014-06-01,1,13,False
2014-06-08,0,8,False
2014-06-15,1,22,False
2014-06-22,1,9,False
2014-06-29,1,10,False
2014-07-06,0,25,False
2014-07-13,0,82,False
2014-07-20,0,12,False
2014-07-27,1,8,False
2014-08-03,1,10,False
2014-08-10,1,6,False
2014-08-17,1,10,False
2014-08-24,1,12,False
2014-08-31,1,10,False
2014-09-07,1,8,False
2014-09-14,1,8,False
2014-09-21,1,8,False
2014-09-28,0,7,False
2014-10-05,1,7,False
2014-10-12,1,8,False
2014-10-19,1,8,False
2014-10-26,0,8,False
2014-11-02,1,13,False
2014-11-09,3,19,False
2014-11-16,1,12,False
2014-11-23,1,11,False
2014-11-30,1,9,False
2014-12-07,1,15,False
2014-12-14,1,8,False
2014-12-21,0,8,False
2014-12-28,1,11,False
2015-01-04,1,12,False
2015-01-11,1,22,False
2015-01-18,1,12,False
2015-01-25,1,12,False
2015-02-01,1,22,False
2015-02-08,1,26,False
2015-02-15,1,14,False
2015-02-22,1,10,False
2015-03-01,1,10,False
2015-03-08,1,9,False
2015-03-15,1,9,False
2015-03-22,1,18,False
2015-03-29,1,9,False
2015-04-05,1,9,False
2015-04-12,1,10,False
2015-04-19,1,8,False
2015-04-26,1,9,False
2015-05-03,1,10,False
2015-05-10,1,9,False
2015-05-17,1,7,False
2015-05-24,1,15,False
2015-05-31,1,12,False
2015-06-07,0,16,False
2015-06-14,1,9,False
2015-06-21,1,21,False
2015-06-28,2,15,False
2015-07-05,2,28,False
2015-07-12,2,45,False
2015-07-19,2,17,False
2015-07-26,1,13,False
2015-08-02,1,9,False
2015-08-09,1,8,False
2015-08-16,1,13,False
2015-08-23,3,13,False
2015-08-30,1,18,False
2015-09-06,2,24,False
2015-09-13,2,25,False
2015-09-20,2,23,False
2015-09-27,1,18,False
2015-10-04,1,31,False
2015-10-11,4,18,False
2015-10-18,2,18,False
2015-10-25,2,15,False
2015-11-01,2,19,False
2015-11-08,2,25,False
2015-11-15,3,27,False
2015-11-22,1,22,False
2015-11-29,1,13,False
2015-12-06,5,44,False
2015-12-13,1,26,False
2015-12-20,1,15,False
2015-12-27,1,15,False
2016-01-03,1,19,False
2016-01-10,1,20,False
2016-01-17,1,18,False
2016-01-24,1,16,False
2016-01-31,1,14,False
2016-02-07,2,14,False
2016-02-14,1,16,False
2016-02-21,1,12,False
2016-02-28,1,16,False
2016-03-06,1,21,False
2016-03-13,3,21,False
2016-03-20,1,14,False
2016-03-27,1,11,False
2016-04-03,1,9,False
2016-04-10,1,11,False
2016-04-17,1,11,False
2016-04-24,1,13,False
2016-05-01,1,11,False
2016-05-08,3,9,False
2016-05-15,1,11,False
2016-05-22,1,8,False
2016-05-29,1,14,False
2016-06-05,1,11,False
2016-06-12,1,8,False
2016-06-19,1,21,False
2016-06-26,1,24,False
2016-07-03,1,11,False
2016-07-10,1,14,False
2016-07-17,1,21,False
2016-07-24,0,23,False
2016-07-31,2,12,False
2016-08-07,1,8,False
2016-08-14,5,11,False
2016-08-21,1,12,False
2016-08-28,3,13,False
2016-09-04,2,19,False
2016-09-11,1,10,False
2016-09-18,2,16,False
2016-09-25,1,11,False
2016-10-02,1,10,False
2016-10-09,1,9,False
2016-10-16,1,10,False
2016-10-23,1,10,False
2016-10-30,1,9,False
2016-11-06,1,32,False
2016-11-13,2,25,False
2016-11-20,6,42,False
2016-11-27,4,12,False
2016-12-04,1,27,False
2016-12-11,1,17,False
2016-12-18,2,31,False
2016-12-25,1,14,False
2017-01-01,1,10,False
2017-01-08,3,9,False
2017-01-15,2,16,False
2017-01-22,22,13,False
2017-01-29,5,21,False
2017-02-05,1,17,False
2017-02-12,1,17,False
2017-02-19,1,12,False
2017-02-26,4,9,False
2017-03-05,4,13,False
2017-03-12,1,74,False
2017-03-19,2,50,False
2017-03-26,1,20,False
2017-04-02,1,12,False
2017-04-09,1,10,False
2017-04-16,1,8,False
2017-04-23,3,14,False
2017-04-30,1,13,False
2017-05-07,2,15,False
2017-05-14,1,24,False
2017-05-21,1,18,False
2017-05-28,2,37,False
2017-06-04,2,19,False
2017-06-11,1,16,False
2017-06-18,1,10,False
2017-06-25,1,19,False
2017-07-02,1,30,False
2017-07-09,1,21,False
2017-07-16,3,16,False
2017-07-23,1,10,False
2017-07-30,1,10,False
2017-08-06,1,11,False
2017-08-13,2,17,False
2017-08-20,5,17,False
2017-08-27,1,17,False
2017-09-03,2,35,False
2017-09-10,1,28,False
2017-09-17,3,49,False
2017-09-24,5,100,False
2017-10-01,2,19,False
2017-10-08,1,11,False
2017-10-15,1,12,False
2017-10-22,1,9,False
2017-10-29,1,10,False
2017-11-05,1,10,False
2017-11-12,2,11,False
2017-11-19,1,29,False
2017-11-26,2,17,False
2017-12-03,2,11,False
2017-12-10,1,10,False
2017-12-17,1,9,False
2017-12-24,1,11,False
2017-12-31,1,11,False
2018-01-07,2,15,False
2018-01-14,1,11,False
2018-01-21,2,11,False
2018-01-28,1,10,False
2018-02-04,18,15,False
2018-02-11,6,14,False
2018-02-18,2,12,False
2018-02-25,1,15,False
2018-03-04,8,15,False
2018-03-11,2,23,False
2018-03-18,1,13,False
2018-03-25,1,7,False
2018-04-01,1,8,False
2018-04-08,1,9,False
2018-04-15,1,8,False
2018-04-22,0,15,False
2018-04-29,0,9,False
2018-05-06,0,8,False
2018-05-13,1,9,False
2018-05-20,0,8,False
2018-05-27,0,8,True
